alpha-nDCG@10,result,result_1,result_2
2015,0,0,0
2015,0.823866,0.823866,0.823866
2016,0.832567,0.921238,0.927752
2016,0.689744,0.689744,0.678972
2017,0.79296,0.940707,0.989653
2017,0.627828,0.675111,0.684049
